product|prod_func
company0-product93|0.391(company16-product56)+ 0.197(company17-product27)+ 0.427(company16-product40)+ 0.359(company8-product5)+ 0.767(company7-product88)+ 0.850(company0-product57)+ 0.707(company3-product85)
company0-product89|0.734(company1-product23)+ 0.881(company16-product20)+ 0.588(company16-product12)+ 0.432(company0-product57)+ 0.201(company3-product85)+ 0.785(company3-product99)
company0-product18|2.848174813753853 x (company16-product62)^0.482 x (company16-product5)^0.518
company0-product95|min{(company5-product25)/0.386}
company0-product65|0.488(company0-product44)+ 0.279(company12-product59)+ 0.787(company0-product47)
company0-product23|ExoProd[0.0087]
company0-product61|ExoProd[0.0958]
company0-product20|ExoProd[0.0206]
company0-product73|5.397246918054542 x (company11-product23)^0.136 x (company11-product86)^0.163 x (company3-product1)^0.089 x (company9-product36)^0.198 x (company13-product61)^0.213 x (company11-product25)^0.067 x (company12-product4)^0.133
company0-product31|1.6961057685876795 x (company3-product5)^0.162 x (company16-product40)^0.161 x (company11-product57)^0.203 x (company15-product85)^0.075 x (company3-product1)^0.094 x (company1-product80)^0.238 x (company7-product88)^0.068
company0-product25|ExoProd[0.0229]
company0-product32|min{(company0-product61)/0.473, (company0-product1)/0.500, (company19-product36)/0.302, (company17-product27)/0.616}
company0-product57|ExoProd[0.0081]
company0-product15|min{(company5-product77)/0.229, (company0-product98)/0.384, (company8-product63)/0.555}
company0-product71|1.8912094309099472 x (company13-product38)^0.241 x (company16-product31)^0.377 x (company10-product49)^0.178 x (company5-product70)^0.204
company0-product30|ExoProd[0.0040]
company0-product44|min{(company12-product41)/0.339, (company0-product18)/0.654, (company11-product34)/0.593, (company9-product10)/0.236, (company2-product72)/0.579}
company0-product48|min{(company16-product99)/0.626, (company1-product20)/0.214, (company11-product86)/0.228, (company0-product79)/0.742, (company9-product53)/0.729, (company1-product80)/0.360, (company12-product4)/0.688, (company0-product25)/0.693}
company0-product79|ExoProd[0.0770]
company0-product98|0.844(company9-product55)+ 0.609(company17-product33)+ 0.402(company4-product66)
company0-product47|4.072422602120515 x (company3-product58)^0.125 x (company1-product6)^0.269 x (company5-product37)^0.378 x (company3-product73)^0.228
company0-product64|0.806(company0-product71)+ 0.274(company14-product11)+ 0.305(company16-product39)+ 0.412(company16-product68)
company0-product28|0.793(company17-product79)+ 0.747(company15-product85)+ 0.493(company11-product86)+ 0.640(company16-product12)+ 0.347(company0-product30)+ 0.699(company6-product20)+ 0.530(company11-product36)
company0-product94|0.771(company6-product9)+ 0.469(company3-product19)+ 0.773(company3-product33)+ 0.754(company13-product43)
company0-product50|0.239(company3-product74)+ 0.506(company11-product34)+ 0.288(company8-product41)+ 0.465(company4-product49)+ 0.601(company5-product78)+ 0.267(company14-product22)+ 0.693(company0-product95)
company0-product1|ExoProd[0.0248]
company0-product97|0.699(company9-product30)+ 0.607(company18-product91)
company1-product95|0.337(company5-product25)
company1-product81|7.39540359133875 x (company16-product56)^0.234 x (company13-product86)^0.205 x (company14-product25)^0.165 x (company9-product30)^0.155 x (company10-product67)^0.152 x (company3-product99)^0.089
company1-product23|ExoProd[0.0966]
company1-product20|ExoProd[0.0716]
company1-product52|min{(company17-product27)/0.588, (company16-product20)/0.691, (company16-product62)/0.502, (company2-product57)/0.765, (company16-product12)/0.229}
company1-product62|ExoProd[0.0640]
company1-product92|min{(company16-product56)/0.567, (company11-product23)/0.293, (company17-product27)/0.794, (company3-product99)/0.437, (company10-product67)/0.286, (company6-product20)/0.780, (company11-product36)/0.235, (company7-product88)/0.701}
company1-product82|0.286(company5-product25)+ 0.278(company17-product27)+ 0.555(company12-product30)+ 0.511(company16-product12)+ 0.211(company18-product91)
company1-product35|min{(company1-product23)/0.223, (company16-product12)/0.699, (company10-product67)/0.627, (company9-product25)/0.792, (company9-product53)/0.346, (company6-product20)/0.408, (company12-product4)/0.380, (company19-product36)/0.734}
company1-product59|min{(company3-product66)/0.566, (company3-product74)/0.652, (company2-product7)/0.675, (company15-product83)/0.739, (company1-product52)/0.337, (company13-product2)/0.740, (company2-product84)/0.406}
company1-product45|3.2280088630592703 x (company11-product54)^1.000
company1-product11|min{(company16-product48)/0.392}
company1-product33|0.426(company16-product12)+ 0.843(company9-product53)+ 0.696(company11-product57)
company1-product15|0.277(company14-product98)+ 0.742(company2-product77)+ 0.319(company8-product63)
company1-product30|ExoProd[0.0921]
company1-product80|ExoProd[0.0547]
company1-product86|ExoProd[0.0508]
company1-product4|ExoProd[0.0789]
company1-product55|4.4476682395015885 x (company2-product30)^0.363 x (company18-product91)^0.350 x (company1-product80)^0.137 x (company11-product57)^0.151
company1-product36|ExoProd[0.0640]
company1-product6|min{(company1-product86)/0.626}
