supplier_id,buyer_id,product_id,amount,time
23,6,0,18.0,2
5,17,3,80.0,2
4,43,2,74.0,2
23,19,3,56.0,2
19,43,3,74.0,2
0,26,3,12.0,2
19,5,3,92.0,2
4,5,0,184.0,2
16,47,3,28.0,2
0,23,0,24.0,2
23,33,2,108.0,2
16,4,0,22.0,2
23,22,2,32.0,2
4,26,2,48.0,2
0,22,0,24.0,2
3,5,2,92.0,2
23,17,0,42.0,2
5,4,3,88.0,2
23,47,2,112.0,2
23,26,0,36.0,2
16,22,3,8.0,2
3,17,2,122.0,2
23,23,3,96.0,2
23,6,2,24.0,2
19,6,3,6.0,2
23,43,0,16.0,2
23,33,0,216.0,2
0,47,0,84.0,2
4,33,3,108.0,2
4,19,0,14.0,2
4,23,0,16.0,3
23,33,2,84.0,3
23,29,2,26.0,3
5,26,3,3.0,3
16,4,0,14.0,3
23,6,2,12.0,3
43,64,8,14.0,3
4,5,0,96.0,3
23,0,3,24.0,3
0,17,3,78.0,3
23,22,3,12.0,3
23,40,11,2.0,3
23,33,3,84.0,3
4,26,11,14.0,3
16,5,3,48.0,3
0,10,0,12.0,3
19,64,11,14.0,3
23,5,2,48.0,3
19,43,3,88.0,3
23,43,0,104.0,3
23,29,11,4.0,3
16,47,3,30.0,3
23,23,3,64.0,3
47,64,12,14.0,3
3,17,2,78.0,3
23,26,0,9.0,3
23,43,2,88.0,3
5,60,13,2.0,3
23,67,11,8.0,3
26,33,12,9.0,3
17,40,8,2.0,3
33,26,13,28.0,3
17,26,12,14.0,3
3,22,2,48.0,3
47,60,12,3.0,3
33,33,13,6.0,3
33,47,13,14.0,3
5,67,13,16.0,3
47,47,12,9.0,3
3,47,2,120.0,3
23,29,0,6.0,3
23,33,11,6.0,3
33,63,13,2.0,3
4,47,11,8.0,3
43,29,13,4.0,3
5,64,13,28.0,3
23,60,11,2.0,3
0,22,0,36.0,3
22,67,12,8.0,3
5,4,3,56.0,3
23,0,0,6.0,3
47,40,12,2.0,3
23,33,0,168.0,3
23,29,3,20.0,3
43,67,8,8.0,3
23,47,0,90.0,3
33,40,13,4.0,3
13,6,3,3.0,3
23,63,11,2.0,3
17,47,8,6.0,3
17,26,8,14.0,3
0,26,2,12.0,3
6,29,12,6.0,3
10,10,3,48.0,3
4,6,0,9.0,3
26,63,12,3.0,3
10,40,11,12.0,4
20,32,4,280.0,4
4,4,0,86.0,4
18,25,4,2800.0,4
23,0,3,196.0,4
4,0,0,49.0,4
23,8,2,564.0,4
33,26,13,4.0,4
23,37,2,456.0,4
16,10,3,432.0,4
4,26,3,11.0,4
23,39,1,360.0,4
23,14,0,96.0,4
23,33,3,56.0,4
23,7,1,152.0,4
23,33,2,56.0,4
4,8,1,564.0,4
4,35,1,57.0,4
23,67,11,12.0,4
19,43,3,52.0,4
4,47,11,12.0,4
23,7,2,152.0,4
23,3,2,511.0,4
4,13,0,56.0,4
0,33,0,112.0,4
16,23,0,369.0,4
17,47,8,12.0,4
33,64,13,12.0,4
0,44,0,36.0,4
43,67,8,22.0,4
23,11,0,144.0,4
4,40,0,384.0,4
47,40,12,12.0,4
5,67,13,24.0,4
23,25,1,2695.0,4
23,13,3,28.0,4
3,17,2,1110.0,4
23,5,0,80.0,4
17,26,8,2.0,4
16,39,0,936.0,4
4,23,2,72.0,4
4,32,0,210.0,4
43,29,13,2.0,4
23,46,0,432.0,4
29,26,12,2.0,4
23,43,0,8.0,4
23,29,11,2.0,4
33,40,13,24.0,4
14,39,4,864.0,4
3,5,2,40.0,4
3,2,2,2664.0,4
22,67,12,12.0,4
4,2,1,2664.0,4
4,45,2,1632.0,4
47,47,12,12.0,4
3,22,2,40.0,4
3,1,2,168.0,4
15,11,4,96.0,4
47,64,12,6.0,4
23,17,3,309.0,4
0,22,0,30.0,4
33,33,13,2.0,4
3,1,1,168.0,4
16,6,0,129.0,4
43,64,8,6.0,4
3,37,1,456.0,4
4,5,3,40.0,4
16,40,3,128.0,4
23,47,2,416.0,4
26,33,12,3.0,4
23,40,2,512.0,4
23,25,2,595.0,4
16,47,3,104.0,4
23,43,2,52.0,4
4,27,1,365.0,4
23,25,0,2100.0,4
4,26,2,44.0,4
16,35,0,57.0,4
29,64,8,6.0,4
14,14,4,128.0,4
5,4,3,344.0,4
23,45,1,1632.0,4
23,47,0,312.0,4
23,3,1,511.0,4
4,22,3,10.0,4
23,33,11,2.0,4
23,26,0,33.0,4
23,17,0,801.0,4
4,26,11,2.0,4
3,6,2,172.0,4
23,23,1,72.0,4
23,36,3,12.0,4
20,46,4,288.0,4
23,23,3,1188.0,4
3,13,2,28.0,4
0,64,11,6.0,4
17,40,8,12.0,4
4,16,0,544.0,4
23,44,3,144.0,4
23,27,2,365.0,4
23,36,0,24.0,4
23,36,2,12.0,4
3,32,1,210.0,4
4,31,3,144.0,4
23,14,1,96.0,4
4,31,0,108.0,4
23,16,3,2176.0,4
14,35,4,76.0,4
6,29,12,3.0,4
0,10,0,108.0,4
20,31,4,48.0,4
19,6,3,43.0,4
4,0,0,3650.0,5
4,8,1,49832.0,5
26,26,12,2.0,5
3,2,2,33636.0,5
3,17,2,21482.0,5
4,26,11,2.0,5
25,35,14,235.0,5
23,14,1,1371.0,5
23,60,11,6.0,5
23,8,2,49832.0,5
4,47,11,8.0,5
25,62,5,88.0,5
23,29,0,9288.0,5
23,33,3,144.0,5
3,22,2,36660.0,5
14,39,4,3180.0,5
3,27,14,4.0,5
23,37,2,20117.0,5
3,49,14,150.0,5
31,70,9,36.0,5
2,38,7,6.0,5
25,70,5,77.0,5
23,12,2,36324.0,5
16,23,0,13493.0,5
23,6,2,11836.0,5
27,37,14,36.0,5
35,61,5,19.0,5
16,10,0,1548.0,5
20,25,4,26532.0,5
45,54,7,120.0,5
27,54,14,120.0,5
23,52,11,10.0,5
5,67,13,20.0,5
19,43,3,112.0,5
23,70,6,36.0,5
23,25,1,29419.0,5
23,33,2,144.0,5
2,41,7,36.0,5
16,44,0,1212.0,5
45,65,7,108.0,5
6,29,12,3.0,5
23,16,3,2304.0,5
3,35,1,4719.0,5
23,22,3,9165.0,5
14,14,4,1828.0,5
10,35,11,108.0,5
0,64,11,49.0,5
4,26,2,2104.0,5
40,38,12,16.0,5
26,60,12,9.0,5
23,17,3,5393.0,5
7,30,14,112.0,5
0,45,2,64064.0,5
39,42,10,192.0,5
2,53,7,360.0,5
1,64,7,42.0,5
23,70,11,36.0,5
23,26,0,1578.0,5
23,44,3,4848.0,5
45,52,7,30.0,5
2,62,7,264.0,5
10,26,3,526.0,5
23,23,1,1356.0,5
23,38,11,10.0,5
17,26,8,8.0,5
23,14,0,1371.0,5
3,61,14,57.0,5
25,39,5,96.0,5
3,65,14,300.0,5
23,37,1,20117.0,5
23,45,1,64064.0,5
5,36,3,16.0,5
37,41,14,192.0,5
4,3,1,34799.0,5
0,40,3,9951.0,5
16,39,9,192.0,5
23,36,2,16.0,5
23,3,2,34799.0,5
23,6,0,8877.0,5
4,32,0,16992.0,5
16,42,9,256.0,5
3,1,1,96.0,5
23,10,3,6192.0,5
16,4,0,6169.0,5
31,32,10,24.0,5
23,35,6,36.0,5
23,67,11,10.0,5
0,16,0,576.0,5
3,2,1,33636.0,5
20,32,4,22656.0,5
23,43,0,56.0,5
33,47,13,16.0,5
46,39,10,144.0,5
13,64,13,14.0,5
23,29,11,2.0,5
14,56,5,32.0,5
33,40,13,8.0,5
8,30,7,84.0,5
3,12,1,36324.0,5
47,47,12,8.0,5
25,54,5,40.0,5
11,56,10,48.0,5
23,7,2,3320.0,5
25,53,14,360.0,5
0,22,0,27495.0,5
47,67,8,12.0,5
23,47,0,43632.0,5
16,27,0,96.0,5
44,35,9,36.0,5
4,19,0,2332.0,5
32,49,5,50.0,5
33,26,13,4.0,5
25,42,5,128.0,5
23,39,1,1629.0,5
32,27,5,4.0,5
20,11,4,480.0,5
37,62,14,264.0,5
23,47,2,58176.0,5
27,70,14,5.0,5
3,1,2,96.0,5
5,4,3,24676.0,5
16,32,9,32.0,5
22,67,12,10.0,5
25,35,5,271.0,5
23,65,11,75.0,5
4,27,1,29136.0,5
16,11,0,1280.0,5
5,19,3,9328.0,5
23,27,2,29040.0,5
32,32,5,16.0,5
40,30,12,112.0,5
7,7,1,3320.0,5
3,32,1,16992.0,5
4,40,0,29853.0,5
23,40,11,4.0,5
27,38,14,40.0,5
18,35,4,6292.0,5
23,29,3,3114.0,5
43,47,13,24.0,5
4,30,11,28.0,5
23,37,11,72.0,5
17,40,8,12.0,5
43,29,13,2.0,5
4,41,11,48.0,5
6,52,12,40.0,5
23,25,2,9520.0,5
23,25,0,19899.0,5
36,60,13,6.0,5
23,11,3,2240.0,5
17,47,8,26.0,5
16,56,9,64.0,5
0,0,3,14600.0,5
8,61,7,57.0,5
45,49,7,150.0,5
23,33,0,288.0,5
16,35,0,4719.0,5
16,47,3,14544.0,5
7,52,14,40.0,5
3,40,2,39804.0,5
4,23,2,1356.0,5
23,36,0,32.0,5
0,29,2,12402.0,5
23,17,0,16089.0,5
27,64,14,164.0,5
39,53,5,120.0,5
19,6,3,2959.0,5
23,43,2,112.0,5
0,39,0,3141.0,5
23,23,3,48548.0,5
20,27,4,128.0,5
8,30,7,2490.0,6
23,29,0,4680.0,6
30,54,24,16.0,6
23,52,11,739.0,6
62,92,21,11.0,6
36,67,8,2.0,6
39,32,10,312.0,6
23,36,2,48.0,6
3,13,2,8.0,6
23,23,1,1060.0,6
62,54,21,77.0,6
16,46,9,64.0,6
35,68,18,27.0,6
16,13,0,16.0,6
23,44,3,3232.0,6
20,32,4,18920.0,6
17,26,8,2.0,6
26,60,12,3.0,6
35,71,18,21.0,6
20,25,4,18332.0,6
23,35,6,1212.0,6
4,26,2,16432.0,6
23,33,3,60.0,6
3,24,14,2752.0,6
23,29,2,6240.0,6
19,35,11,1500.0,6
4,16,0,768.0,6
0,45,11,1544.0,6
23,11,3,1008.0,6
29,40,8,6.0,6
22,67,12,18.0,6
16,56,9,320.0,6
70,57,18,5.0,6
14,56,5,160.0,6
26,63,12,3.0,6
35,62,18,7.0,6
37,69,16,36.0,6
45,65,7,3252.0,6
45,58,7,740.0,6
25,62,14,3975.0,6
20,31,4,336.0,6
23,36,0,96.0,6
23,65,11,2107.0,6
23,25,1,29928.0,6
19,30,11,830.0,6
3,58,14,740.0,6
3,2,1,24528.0,6
17,26,12,4.0,6
4,31,0,504.0,6
16,10,3,24488.0,6
6,29,12,3.0,6
14,35,4,12024.0,6
23,17,0,28254.0,6
16,42,9,192.0,6
23,59,11,24.0,6
23,14,0,96.0,6
45,49,7,10476.0,6
35,54,18,29.0,6
33,67,13,36.0,6
4,26,3,4108.0,6
23,67,11,18.0,6
0,10,0,6122.0,6
2,52,7,2217.0,6
35,68,16,36.0,6
32,92,19,8.0,6
10,66,11,1548.0,6
3,65,14,8428.0,6
38,92,24,2.0,6
35,74,18,64.0,6
25,42,5,96.0,6
33,63,13,2.0,6
27,64,14,8384.0,6
40,38,12,6631.0,6
14,14,4,128.0,6
